"compo","m","turbulence","release","size","authority","i","ticks","compl.bu","ticks.at80perc.bu","ticks.at80perc.var","effica.bu","dircC.bu","propC.bu","effica.cum.bu","complete.cum.bu","dirCoupl.50perc.bu","inddirCoupl.50perc.bu","ic1st.bu","ic2nd.bu","ic3rd.bu","ic4th.bu","ic5th.bu","ic6th.bu","ic7th.bu","ic8th.bu","ic9th.bu","ic10th.bu","ic11th.bu","ic12th.bu","ic13th.bu","ic14th.bu","ic15th.bu","ic16th.bu","ic17th.bu","ic18th.bu","ic19th.bu","ic20th.bu","ticks.at80perc.td","effica.cum.td","complete.cum.td","compl.td","effica.td","propC.td","dircC.td","dirCoupl.50perc.td","inddirCoupl.50perc.td","ic1st.td","ic2nd.td","ic3rd.td","ic4th.td","ic5th.td","ic6th.td","ic7th.td","ic8th.td","ic9th.td","ic10th.td","ic11th.td","ic12th.td","ic13th.td","ic14th.td","ic15th.td","ic16th.td","ic17th.td","ic18th.td","ic19th.td","ic20th.td","complete.cum.diff","compl.diff","authority_direct","artifact_direct","authority_indirect","artifact_indirect"
"22",0.055,100,0,50,100,0,1000,1000,1,121.06,168.703434343434,0.50733,0.027688,0.038805,462.456469,911.5028,0.0680237332873044,0.0728324319787476,176.88,100.35,10.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,106.15,661.093544,932.1568,1,0.708727,0.684266,0.037185,0.0842310314697675,0.216383376598979,271.85,579.75,1051.3,1405.23,1341.83,962.79,564.79,291.62,142.89,69.02,33.32,15.77,7.12,2.99,1.35,0.65,0.23,0.12,0.04,0,-20.654,0,0.037185,0.027688,0.684266,0.038805
"23",0.06,100,0,1,100,0,1000,1000,1,96.07,206.79303030303,0.501922,0.039187,0.150884,463.241162,922.9507,0.0946733994247984,0.177929444876281,291.87,478.65,400.87,175.02,48.96,11.1,2.08,0.28,0.01,0,0,0,0,0,0,0,0,0,0,0,77.93,739.883595,948.2888,1,0.780645,0.924703,0.051463,0.118647308546605,0.982585469883313,414.63,1373.77,2905.82,2807.69,1232.95,328.58,68.17,13.02,2.19,0.2,0.01,0,0,0,0,0,0,0,0,0,-25.3381000000001,0,0.051463,0.039187,0.924703,0.150884
"24",0.06,100,0,50,100,0,1000,1000,1,164.44,264.329696969697,0.508472,0.030917,0.051084,445.602528,876.772,0.0782128766248031,0.0902571492182118,209.17,163.77,36.65,1.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,117.44,647.169198,921.6291,1,0.701499,0.755122,0.040241,0.0882198593904305,0.248180644669094,302.41,710.63,1375.9,1807.83,1542.23,929.21,454.43,195.78,79.26,31.92,12.75,5.3,2.22,0.84,0.36,0.11,0.04,0,0,0,-44.8571000000001,0,0.040241,0.030917,0.755122,0.051084
"25",0.065,100,0,1,100,0,1000,1000,1,147.55,535.74494949495,0.505839,0.041714,0.170653,444.688396,879.1379,0.100760818822445,0.20382205400016,317.14,553.88,469.06,198.05,55.18,11.46,1.64,0.12,0,0,0,0,0,0,0,0,0,0,0,0,86.67,721.518038,940.9728,1,0.767257,0.938928,0.054918,0.125834497541995,1.11062248923957,449.18,1575.28,3257.22,2746.66,985.95,222.21,42.83,8.32,1.44,0.17,0.02,0,0,0,0,0,0,0,0,0,-61.8348999999999,0,0.054918,0.041714,0.938928,0.170653
"26",0.065,100,0,50,100,0,1000,1000,1,226.97,541.504141414141,0.505777,0.033993,0.066362,417.330983,825.1193,0.0856950208425146,0.109739831704238,239.93,233.33,80.42,9.61,0.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,136.46,634.122877,908.3115,1,0.697278,0.823695,0.043936,0.0938598071028488,0.343185416227544,339.36,904.83,1828.05,2233.2,1598.71,778.28,303.53,104.94,32.32,9.86,2.98,0.72,0.15,0.02,0,0,0,0,0,0,-83.1922000000001,0,0.043936,0.033993,0.823695,0.066362
"27",0.07,100,0,1,100,0,1000,1000,1,238.5,1487.72727272727,0.506076,0.04431,0.191206,405.164776,800.0529,0.106749639406882,0.231069534538562,343.1,632.36,539.99,221.17,60.62,12.29,2.25,0.26,0.02,0,0,0,0,0,0,0,0,0,0,0,98.81,704.978947,930.8133,1,0.757821,0.951232,0.057934,0.129517731126462,1.21206031955803,479.34,1774.99,3599.65,2630.92,768.31,138.23,18.96,1.76,0.15,0.01,0,0,0,0,0,0,0,0,0,0,-130.7604,0,0.057934,0.04431,0.951232,0.191206
"28",0.07,100,0,50,100,0,1000,1000,1,318.32,1337.02787878788,0.506841,0.037094,0.082527,379.037968,747.8785,0.0922587537406268,0.13374070971951,270.94,300.88,128.89,22.49,2.03,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,158.39,618.482687,891.8322,1,0.692193,0.869918,0.047964,0.105263354818283,0.563682641095808,379.64,1113.01,2320.42,2561.77,1469.71,538.8,160.5,42.82,9.88,2.17,0.4,0.05,0.01,0,0,0,0,0,0,0,-143.9537,0,0.047964,0.037094,0.869918,0.082527
"29",0.075,100,0,1,100,0,1000,1000,1,358.61,3239.08878787879,0.505832,0.046579,0.210038,351.527764,695.0768,0.111132994263855,0.249267864886635,365.79,709.36,605.46,238.3,63.77,14.38,2.63,0.52,0.12,0.04,0.01,0,0,0,0,0,0,0,0,0,116.07,692.571516,916.5897,1,0.756041,0.963353,0.06139,0.136828364051429,1.32278769713527,513.9,1983.47,3867.36,2460.54,599.75,93.48,12.85,1.94,0.23,0.01,0,0,0,0,0,0,0,0,0,0,-221.5129,0,0.06139,0.046579,0.963353,0.210038
"30",0.075,100,0,50,100,0,1000,1000,1,451.59,3292.70898989899,0.509336,0.040014,0.104334,322.041755,633.0742,0.100419676035996,0.165228747118473,300.14,393.74,200.88,43.51,4.79,0.27,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,182.29,605.870629,872.356,1,0.692779,0.900601,0.051157,0.111780307722119,0.714183159858069,411.57,1288.93,2671.89,2674.34,1309.59,411.1,105.46,25.15,6.11,1.45,0.34,0.07,0.01,0,0,0,0,0,0,0,-239.2818,0,0.051157,0.040014,0.900601,0.104334
"31",0.08,100,0,1,100,0,1000,1000,1,565.72,9339.8804040404,0.505339,0.048584,0.222947,259.076802,513.1198,0.115448707784981,0.267247645933654,385.84,774.39,648.43,242.09,62.95,13.56,2,0.2,0.01,0,0,0,0,0,0,0,0,0,0,0,140.74,670.643106000001,895.4057,1,0.749297,0.968265,0.064574,0.14243492102961,1.39006137673016,545.74,2181.18,4097.58,2247.22,448.21,57.17,5.15,0.35,0.04,0.01,0,0,0,0,0,0,0,0,0,0,-382.2859,0,0.064574,0.048584,0.968265,0.222947
"32",0.08,100,0,50,100,0,1000,1000,1,668.07,10164.4293939394,0.502045,0.042876,0.124869,222.463491,444.1003,0.107526865701326,0.19626418869422,328.76,479.31,267.44,63.32,8.8,1.01,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,214.6,586.942759999999,846.1657,1,0.691105,0.920291,0.05464,0.120450380200677,0.881436502521655,446.4,1497.05,3080.67,2691.76,1053.95,262.93,56.03,11.32,2.29,0.44,0.07,0,0,0,0,0,0,0,0,0,-402.0654,0,0.05464,0.042876,0.920291,0.124869
"33",0.085,100,0,1,100,0,1000,1000,0.8143,799.098591549296,12837.4901408451,0.41153,0.0575647023559239,0.21043347301936,124.485559,246.8615,0.122876101316339,0.299681942737016,315.66,646.46,519.02,172.77,38.68,7.62,1.29,0.15,0,0,0,0,0,0,0,0,0,0,0,0,169.67,650.664877999999,870.7168,1,0.74729,0.976294,0.068417,0.149214038157456,1.50607331689596,584.17,2451.63,4346.85,1948.54,299.84,29.13,2.45,0.31,0.02,0,0,0,0,0,0,0,0,0,0,0,-623.8553,-0.1857,0.068417,0.0575647023559239,0.976294,0.21043347301936
"34",0.085,100,0,50,100,0,1000,1000,0.7212,873.392857142857,7558.97012987013,0.365916,0.0553682632724012,0.132239678975451,99.36076,196.5617,0.115859790694262,0.237093839879429,226.37,341.52,200.87,54.91,10.11,1.18,0.09,0,0,0,0,0,0,0,0,0,0,0,0,0,259.28,564.246124999999,810.5103,1,0.692237,0.941401,0.059135,0.12868352588371,1.09577683599822,491.35,1782.21,3557.5,2562.45,751.49,141.91,23.21,3.53,0.35,0.01,0,0,0,0,0,0,0,0,0,0,-613.9486,-0.2788,0.059135,0.0553682632724012,0.941401,0.132239678975451
